generating_institute     gfz-potsdam
     generating_date     2021/08/19
        product_type     topography
                body     earth
           modelname     etopo1-2250
          functional     topography_grd (grid)=>bi-linear interpolation
                unit     meter
          refsysname     WGS84
        radiusrefsys     6378137.000 m
          flatrefsys      3.352810664747480E-03   (1/298.25722356300)
       long_lat_unit     degree
      latlimit_north       14.170000000000    
      latlimit_south      -57.830000000000    
      longlimit_west       276.25000000000    
      longlimit_east       327.25000000000    
            gridstep       1.0000000000000    
  latitude_parallels            73
 longitude_parallels            52
number_of_gridpoints          3796
            gapvalue          99999.0000
       weighted_mean     -1.6588518E+03 meter
            maxvalue      5.2980000E+03 meter
            minvalue     -6.7580000E+03 meter
         signal_wrms      2.4289274E+03 meter
         grid_format     long_lat_value
 
          longitude    latitude    topography_grd
            [deg.]      [deg.]         [meter]
       308.250000      6.170000   -1782.00
       309.250000      6.170000   -3373.60
       310.250000      6.170000   -3757.60
       311.250000      6.170000   -3796.80
       312.250000      6.170000   -3862.20
       313.250000      6.170000   -3912.80
       314.250000      6.170000   -4000.20
       315.250000      6.170000   -3946.80
       316.250000      6.170000   -4474.60
       317.250000      6.170000   -4665.00
       318.250000      6.170000   -4613.20
       319.250000      6.170000   -4588.60
       320.250000      6.170000   -4214.00
       321.250000      6.170000   -4774.00
       322.250000      6.170000   -4519.60
       323.250000      6.170000   -4613.60
       324.250000      6.170000   -4389.40
       325.250000      6.170000   -4036.40
       326.250000      6.170000   -3584.80
       327.250000      6.170000   -3248.60
       276.250000      5.170000   -3251.00
       277.250000      5.170000   -3291.00
       278.250000      5.170000   -3873.60
       279.250000      5.170000   -1964.40
       280.250000      5.170000   -3519.40
       281.250000      5.170000   -2905.60
       282.250000      5.170000   -2269.20
       283.250000      5.170000     124.80
       284.250000      5.170000    1397.80
       285.250000      5.170000     368.40
       286.250000      5.170000    3041.00
       287.250000      5.170000     688.20
       288.250000      5.170000     162.00
       289.250000      5.170000     117.80
       290.250000      5.170000     115.20
       291.250000      5.170000     114.80
       292.250000      5.170000     101.60
       293.250000      5.170000     510.00
       294.250000      5.170000     228.40
       295.250000      5.170000     536.20
       296.250000      5.170000     337.80
       297.250000      5.170000     426.20
       298.250000      5.170000    1052.40
       299.250000      5.170000    2233.80
       300.250000      5.170000     685.80
       301.250000      5.170000      97.60
       302.250000      5.170000      72.60
       303.250000      5.170000      55.40
       304.250000      5.170000      50.00
       305.250000      5.170000      61.00
       306.250000      5.170000      64.60
       307.250000      5.170000      31.80
       308.250000      5.170000     -31.20
       309.250000      5.170000    -125.60
       310.250000      5.170000   -3154.80
       311.250000      5.170000   -2919.40
       312.250000      5.170000   -3272.60
       313.250000      5.170000   -3508.80
       314.250000      5.170000   -3892.60
       315.250000      5.170000   -4124.80
       316.250000      5.170000   -3779.20
       317.250000      5.170000   -4697.60
       318.250000      5.170000   -4548.40
       319.250000      5.170000   -4502.00
       320.250000      5.170000   -4559.00
       321.250000      5.170000   -4611.60
       322.250000      5.170000   -4847.60
       323.250000      5.170000   -4330.40
       324.250000      5.170000   -3981.80
       325.250000      5.170000   -3608.60
       326.250000      5.170000   -3652.60
       327.250000      5.170000   -3651.80
       276.250000      4.170000   -2972.00
       277.250000      4.170000   -2785.60
       278.250000      4.170000   -2224.00
       279.250000      4.170000   -1473.20
       280.250000      4.170000   -2747.60
       281.250000      4.170000   -3449.40
       282.250000      4.170000   -1163.60
       283.250000      4.170000     149.60
       284.250000      4.170000    2460.40
       285.250000      4.170000     295.00
       286.250000      4.170000    1515.60
       287.250000      4.170000     210.20
       288.250000      4.170000     185.60
       289.250000      4.170000     142.60
       290.250000      4.170000     162.60
       291.250000      4.170000     117.80
       292.250000      4.170000      95.60
       293.250000      4.170000     104.00
       294.250000      4.170000     408.60
       295.250000      4.170000    1277.40
       296.250000      4.170000     408.60
       297.250000      4.170000     513.80
       298.250000      4.170000     627.60
       299.250000      4.170000     116.20
       300.250000      4.170000     200.20
       301.250000      4.170000     102.40
       302.250000      4.170000     134.60
       303.250000      4.170000     144.40
       304.250000      4.170000     202.80
       305.250000      4.170000     122.20
       306.250000      4.170000     176.00
       307.250000      4.170000     116.80
       308.250000      4.170000      23.80
       309.250000      4.170000     -42.40
       310.250000      4.170000     -67.60
       311.250000      4.170000    -964.80
       312.250000      4.170000   -2284.20
       313.250000      4.170000   -3017.80
       314.250000      4.170000   -3746.60
       315.250000      4.170000   -4031.40
       316.250000      4.170000   -3122.80
       317.250000      4.170000   -3755.60
       318.250000      4.170000   -3835.80
       319.250000      4.170000   -4041.00
       320.250000      4.170000   -4210.40
       321.250000      4.170000   -4596.00
       322.250000      4.170000   -4194.20
       323.250000      4.170000   -3761.80
       324.250000      4.170000   -3233.60
       325.250000      4.170000   -3857.40
       326.250000      4.170000   -3590.00
       327.250000      4.170000   -1609.40
       276.250000      3.170000   -3064.20
       277.250000      3.170000   -2935.20
       278.250000      3.170000   -2756.20
       279.250000      3.170000   -3016.20
       280.250000      3.170000   -2618.60
       281.250000      3.170000   -1806.60
       282.250000      3.170000     -34.40
       283.250000      3.170000    1764.60
       284.250000      3.170000    2771.60
       285.250000      3.170000    2293.80
       286.250000      3.170000     297.80
       287.250000      3.170000     254.80
       288.250000      3.170000     201.20
       289.250000      3.170000     225.60
       290.250000      3.170000     178.80
       291.250000      3.170000     150.40
       292.250000      3.170000     104.40
       293.250000      3.170000     113.20
       294.250000      3.170000     133.60
       295.250000      3.170000     554.20
       296.250000      3.170000     540.20
       297.250000      3.170000     349.00
       298.250000      3.170000     218.60
       299.250000      3.170000      94.80
       300.250000      3.170000     219.20
       301.250000      3.170000     126.00
       302.250000      3.170000     246.20
       303.250000      3.170000     248.80
       304.250000      3.170000     206.80
       305.250000      3.170000     202.20
       306.250000      3.170000     162.20
       307.250000      3.170000     186.80
       308.250000      3.170000     127.40
       309.250000      3.170000      -7.00
       310.250000      3.170000     -46.20
       311.250000      3.170000    -195.80
       312.250000      3.170000    -866.60
       313.250000      3.170000   -2746.40
       314.250000      3.170000   -3628.20
       315.250000      3.170000   -4019.40
       316.250000      3.170000   -4250.00
       317.250000      3.170000   -4325.60
       318.250000      3.170000   -4397.00
       319.250000      3.170000   -4194.00
       320.250000      3.170000   -4116.00
       321.250000      3.170000   -4324.00
       322.250000      3.170000   -4264.80
       323.250000      3.170000   -4128.40
       324.250000      3.170000   -4060.60
       325.250000      3.170000   -3770.20
       326.250000      3.170000   -3484.80
       327.250000      3.170000   -3512.40
       276.250000      2.170000   -3318.80
       277.250000      2.170000   -3724.00
       278.250000      2.170000   -2316.80
       279.250000      2.170000   -2982.00
       280.250000      2.170000   -3009.60
       281.250000      2.170000     -45.00
       282.250000      2.170000     157.40
       283.250000      2.170000    1693.00
       284.250000      2.170000     829.60
       285.250000      2.170000     286.60
       286.250000      2.170000     248.40
       287.250000      2.170000     249.60
       288.250000      2.170000     210.00
       289.250000      2.170000     173.20
       290.250000      2.170000     212.40
       291.250000      2.170000     152.60
       292.250000      2.170000     145.20
       293.250000      2.170000     113.20
       294.250000      2.170000     146.00
       295.250000      2.170000     210.20
       296.250000      2.170000     523.80
       297.250000      2.170000     279.60
       298.250000      2.170000     126.80
       299.250000      2.170000     114.80
       300.250000      2.170000     163.60
       301.250000      2.170000     263.20
       302.250000      2.170000     241.80
       303.250000      2.170000     250.60
       304.250000      2.170000     404.00
       305.250000      2.170000     393.40
       306.250000      2.170000     287.80
       307.250000      2.170000     170.00
       308.250000      2.170000     196.40
       309.250000      2.170000       9.80
       310.250000      2.170000      -8.00
       311.250000      2.170000     -31.00
       312.250000      2.170000     -51.80
       313.250000      2.170000   -2235.20
       314.250000      2.170000   -3612.80
       315.250000      2.170000   -4008.20
       316.250000      2.170000   -4169.40
